,Morrisons,Sainsbury's,Tescos,,
E12000001,31,,,,
E11000007,,,,,
E12000002,67,,,,
E10000006,6,,,,
E11000001,18,,,,
E10000017,14,,,,
E11000002,10,,,,
E12000003,,,,,
E10000023,6,,,,
E11000003,12,,,,
E11000006,,,,,
E12000004,,,,,
E10000007,,,,,
E10000018,,,,,
E10000019,,,,,
E10000024,,,,,
E12000005,,,,,
E10000028,,,,,
E10000031,,,,,
E11000005,,,,,
E10000034,,,,,
E12000006,,,,,
E10000003,,,,,
E10000012,,,,,
E10000015,,,,,
E10000020,,,,,
E10000029,,,,,
E12000007,,,,,
E12000008,,,,,
E10000011,,,,,
E10000014,,,,,
E10000016,,,,,
E10000025,,,,,
E10000030,,,,,
E10000032,,,,,
E12000009,,,,,
E10000008,,,,,
E10000013,,,,,
E10000027,,,,,
W92000004,31,,,,
S92000003,63,,,,
N92000002,0,,,,
