Morrisons,,Consolidated Income Statemtent,Revenue ,Cost of sales,Gross Profit,Other operating income,Profit on disposal and closure,Administrative expenses,Operating profit,Finance costs,Finance income,Share of loss of joint venture,Profit before taxation,Taxation,Profit for period
,,Before exceptionals £m,18358,-17857,501,114,0,-308,307,-77,7,-1,236,-34,202
,2022/2023,Exceptionals £m,0,-26,-26,0,1,-193,-218,0,33,0,-185,35,-150
,,Total £m,18358,-17883,475,114,1,-501,89,-77,40,-1,51,1,52
,,Before exceptionals Â£m,18479,-18075,404,123,0,-281,246,-67,3,-1,181,-33,148
,2021/2022,Exceptionals £m,0,-13,-13,0,10,-225,-228,-21,30,0,-219,41,-178
,,Total £m,18479,-18088,391,123,10,-506,18,-88,33,-1,-38,8,-30
Tesco,,Before exceptionals £m,65762,-61005,4690,1634,0,-2060,2630,-647,85,8,2076,-442,1634
,2022/2023,Exceptionals £m,0,1029,-1029,-881,-9,-76,-1105,29,0,0,-1076,195,-890
,,Total £m,65762,-59976,3661,753,-9,-2136,1525,-618,85,8,1000,-247,744
,,Before exceptionals £m,61344,-56574,4809,1695,-2,-1984,2825,-652,9,15,2197,-502,1693
,2021/2022,Exceptionals £m,0,-176,-176,-172,-38,-89,-265,101,0,0,-164,-8,-210
,,Total £m,61344,-56750,4633,1523,-40,-2073,2560,-551,9,15,2033,-510,1483
J Sainbury plc,,Before exceptionals £m,31491,-28996,2417,35,,-1480,,-300,18,,690,-157,533
,2022/2023,Exceptionals £m,0,-413,-413,38,,-35,,-9,56,,-363,37,-326
,,Total £m,31491,-29409,2004,73,,-1515,,-309,74,,327,-120,207
,,Before exceptionals £m,29895,-27523,,34,,-1352,,-312,3,,730,-154,576
,2021/2022,Exceptionals £m,0,9,,186,,-78,,-10,17,,124,-23,101
,,Total £m,29895,-27514,0,220,,-1430,,-322,20,,854,-177,677
Woolworth,,Before exceptionals £m,,,,,,,,,,,,,
,2022/2023,Exceptionals £m,,,,,,,,,,,,,
,,Total £m,55435,-37694,13741,-58,,-2947,,,,,1858,-554,1303
,,Before exceptionals £m,,,,,,,,,,,,,
,2021/2022,Exceptionals £m,,,,,,,,,,,,,
,,Total £m,48679,-35902,12777,54,,-2551,,,,,1673,-427,6355
