"Table 3.13: Income and tax by county and region, tax year 2021 to 2022",,,,,,,,,,,,,,,,,,,,
This worksheet contains one table and some cells may refer to notes which can be found on the accompanying notes worksheet.,,,,,,,,,,,,,,,,,,,,
"Numbers of taxpayers are measured in thousands, amounts are measured in £ millions, means and medians are measured in £. Totals may not sum due to rounding.",,,,,,,,,,,,,,,,,,,,
The source of this table is the Survey of Personal Incomes (SPI) for the tax year 2021 to 2022. This table was last updated in February 2024.,,,,,,,,,,,,,,,,,,,,
Region / County codes,Region/County,Self-employment income: Number of individuals,Self-employment income: Mean,Self-employment income: Median,Employment income: Number of individuals,Employment income: Mean,Employment income: Median,Pension income: Number of individuals,Pension income: Mean,Pension income: Median,"Property, interest, dividend and other income: Number of individuals","Property, interest, dividend and other income: Mean","Property, interest, dividend and other income: Median",Total income: Number of individuals,Total income: Mean,Total income: Median,Total tax: Number of individuals,Total tax: Mean,Total tax: Median,Total tax: Amount
K02000001,United Kingdom,"3,520","30,300","16,300","25,000","36,800","26,500","8,560","19,900","16,900","14,200","7,240",60,"33,000","39,400","27,200","33,000","6,850","2,620","226,000"
E92000001,England,"3,030","30,900","16,500","21,000","37,600","26,700","7,050","20,000","16,800","12,000","7,630",64,"27,700","40,300","27,500","27,700","7,160","2,660","198,000"
E12000001,North East,93,"22,300","15,000",929,"30,200","24,700",366,"18,400","16,300",508,"3,840",31,"1,230","31,500","24,900","1,230","4,110","2,230","5,060"
E11000007,Tyne & Wear,35,"23,200","14,800",396,"30,500","25,000",136,"18,000","16,200",197,"3,800",29,508,"31,700","25,200",508,"4,120","2,290","2,090"
Not applicable,Unitary Authorities (North East),58,"21,800","15,200",533,"30,000","24,400",230,"18,600","16,400",311,"3,860",32,725,"31,400","24,600",725,"4,090","2,180","2,970"
E12000002,North West,303,"22,900","15,700","2,690","32,000","25,000",925,"18,900","16,500","1,410","5,930",43,"3,490","34,000","25,700","3,490","4,930","2,360","17,200"
E10000006,Cumbria,28,"20,000","14,500",191,"30,200","24,900",87,"18,900","16,500",115,"5,170",61,265,"32,300","25,800",265,"4,190","2,370","1,110"
E11000001,Greater Manchester,111,"23,600","16,100","1,030","31,800","25,000",290,"17,900","16,100",500,"5,730",36,"1,290","33,600","25,500","1,290","4,810","2,350","6,190"
E10000017,Lancashire,55,"22,000","15,500",440,"30,500","24,200",183,"19,100","16,800",265,"6,250",55,600,"32,900","25,200",600,"4,510","2,260","2,710"
E11000002,Merseyside,49,"22,600","16,400",503,"30,500","25,000",166,"18,300","16,100",235,"4,380",29,642,"32,000","25,200",642,"4,310","2,310","2,760"
