"Table 3.13: Income and tax by county and region, tax year 2021 to 2022",,,,,,,,,,,,,,,,,,,,
This worksheet contains one table and some cells may refer to notes which can be found on the accompanying notes worksheet.,,,,,,,,,,,,,,,,,,,,
"Numbers of taxpayers are measured in thousands, amounts are measured in £ millions, means and medians are measured in £. Totals may not sum due to rounding.",,,,,,,,,,,,,,,,,,,,
The source of this table is the Survey of Personal Incomes (SPI) for the tax year 2021 to 2022. This table was last updated in February 2024.,,,,,,,,,,,,,,,,,,,,
Region / County codes,Region/County,Self-employment income: Number of individuals,Self-employment income: Mean,Self-employment income: Median,Employment income: Number of individuals,Employment income: Mean,Employment income: Median,Pension income: Number of individuals,Pension income: Mean,Pension income: Median,Property interest dividend and other income: Number of individuals,Property interest dividend and other income: Mean,Property interest dividend and other income: Median,Total income: Number of individuals,Total income: Mean,Total income: Median,Total tax: Number of individuals,Total tax: Mean,Total tax: Median,Total tax: Amount
K02000001,United Kingdom,3520,30300,16300,25000,36800,26500,8560,19900,16900,14200,7240,60,33000,39400,27200,33000,6850,2620,226000
E92000001,England,3030,30900,16500,21000,37600,26700,7050,20000,16800,12000,7630,64,27700,40300,27500,27700,7160,2660,198000
E12000001,North East,93,22300,15000,929,30200,24700,366,18400,16300,508,3840,31,1230,31500,24900,1230,4110,2230,5060
E11000007,Tyne & Wear,35,23200,14800,396,30500,25000,136,18000,16200,197,3800,29,508,31700,25200,508,4120,2290,2090
Not applicable,Unitary Authorities (North East),58,21800,15200,533,30000,24400,230,18600,16400,311,3860,32,725,31400,24600,725,4090,2180,2970
E12000002,North West,303,22900,15700,2690,32000,25000,925,18900,16500,1410,5930,43,3490,34000,25700,3490,4930,2360,17200
E10000006,Cumbria,28,20000,14500,191,30200,24900,87,18900,16500,115,5170,61,265,32300,25800,265,4190,2370,1110
E11000001,Greater Manchester,111,23600,16100,1030,31800,25000,290,17900,16100,500,5730,36,1290,33600,25500,1290,4810,2350,6190
E10000017,Lancashire,55,22000,15500,440,30500,24200,183,19100,16800,265,6250,55,600,32900,25200,600,4510,2260,2710
E11000002,Merseyside,49,22600,16400,503,30500,25000,166,18300,16100,235,4380,29,642,32000,25200,642,4310,2310,2760
Not applicable,Unitary Authorities (North West),60,24200,15300,527,35500,25600,199,20600,17400,297,7520,62,699,37900,26700,699,6380,2530,4460
E12000003,Yorkshire and the Humber,235,22900,15400,1940,30900,24700,696,18700,16500,1130,5210,43,2550,33000,25300,2550,4590,2300,11700
E10000023,North Yorkshire,42,26700,15900,223,33200,24400,112,21000,17500,168,8230,91,324,38000,26800,324,6270,2500,2030
E11000003,South Yorkshire,56,21300,15200,478,29800,24400,160,17800,16200,260,4130,30,620,31300,24700,620,4040,2200,2510
